Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_2_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
234,234,0,3ac0219c,9c4a,a0c5,000,00,11,0,0,0,0
235,235,0,3ac02ed2,9c4a,1226,000,00,11,0,0,0,0
236,236,0,3ac02ed2,9c4a,9fbc,000,00,11,0,1,0,0
237,237,0,3ac02ed2,9c4a,1c4a,000,00,11,0,0,0,0
238,238,0,3ac02ed2,9c4a,a62f,000,00,11,0,0,0,0
239,239,0,3ac02ed2,9c4a,1226,000,00,11,0,0,0,0
240,240,0,3ac02ed2,9c4a,1226,000,00,11,0,0,0,0
241,241,0,3ac02ed2,9c4a,1226,000,00,11,0,0,0,0
242,242,0,3ac02ed2,9c4a,1226,000,00,11,0,0,0,0
243,243,0,3ac02ed2,9c4a,1ba6,000,00,11,0,0,0,0
244,244,0,3ac03225,9c4a,28a1,000,00,11,0,1,0,0
245,245,0,3ac03225,9c4a,a7cb,000,00,11,0,0,0,0
246,246,0,3ac03225,9c4a,233f,000,00,11,0,0,0,0
247,247,0,3ac03225,9c4a,1ba6,000,00,11,0,0,0,0
248,248,0,3ac03225,9c4a,1ba6,000,00,11,0,0,0,0
249,249,0,3ac03225,9c4a,1ba6,000,00,11,0,0,0,0
250,250,0,3ac03225,9c4a,1ba6,000,00,11,0,0,0,0
251,251,0,3ac03225,9c4a,17dd,000,00,11,0,0,0,0
252,252,0,3ac03305,9c4a,29e9,000,00,11,0,1,0,0
253,253,0,3ac03305,9c4a,a299,000,00,11,0,0,0,0
254,254,0,3ac03305,9c4a,20f0,000,00,11,0,0,0,0
255,255,0,3ac03305,9c4a,17dd,000,00,11,0,0,0,0
256,256,0,3ac03305,9c4a,17dd,000,00,11,0,0,0,0
257,257,0,3ac03305,9c4a,17dd,000,00,11,0,0,0,0
258,258,0,3ac03305,9c4a,17dd,000,00,11,0,0,0,0
259,259,0,3ac03305,9c4a,a23f,000,00,11,0,0,0,0
260,260,0,3ac04c84,9c4a,2832,000,00,11,0,1,0,0
261,261,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
262,262,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
263,263,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
264,264,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
265,265,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
266,266,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
267,267,0,3ac04c84,9c4a,a299,000,00,11,0,0,0,0
268,268,0,3ac04cfb,9c4a,a01a,000,00,11,0,1,0,0
269,269,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
270,270,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
271,271,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
272,272,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
273,273,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
274,274,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
275,275,0,3ac04cfb,9c4a,a299,000,00,11,0,0,0,0
276,276,0,3ac057b2,9c4a,a0d9,000,00,11,0,1,0,0
277,277,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
278,278,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
279,279,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
280,280,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
281,281,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
282,282,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
283,283,0,3ac057b2,9c4a,a299,000,00,11,0,0,0,0
284,284,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
285,285,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
286,286,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
287,287,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
288,288,0,3ac06929,9c4a,a299,000,00,11,0,0,0,0
